순위,제목,가수
1위,나인가요,백현(BAEKHYUN)
2위,Hate that... (Feat. 태연),키 (KEY)
3위,Queendom,Red Velvet (레드벨벳)
4위,STAY,"The Kid LAROI
The Kid LAROI
 "
5위,눈물을 훔친다 (금혼령 X 김종국),김종국
6위,고백,멜로망스(MeloMance)
7위,DUMB DUMB,전소미
8위,낙하 (with 아이유),AKMU(악뮤)
9위,가까운 듯 먼 그대여,카더가든
10위,신호등,이무진
11위,비가 오는 날엔 (2021),헤이즈(Heize)
12위,Weekend,태연 (TAEYEON)
13위,Next Level,aespa
14위,Permission to Dance,방탄소년단
15위,Outsider,비투비
16위,좋아좋아,조정석
17위,헤픈 우연,헤이즈(Heize)
18위,ONLY,이하이
19위,이대로만 (Feat. 죠지),로꼬
20위,Bad Habits,Ed Sheeran(에드 시런)
21위,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH)
22위,OHAYO MY NIGHT,"디핵(D-Hack)
디핵(D-Hack)
 "
23위,바라만 본다,MSG워너비(M.O.M)
24위,It's My Life,윤미래
25위,Butter,방탄소년단
26위,DREAMER,비투비
27위,회상,정경호
28위,Dun Dun Dance,오마이걸(OH MY GIRL)
29위,벌써 일년 (Drama Ver.),미도와 파라솔
30위,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔
31위,Dynamite,방탄소년단
32위,"Peaches (feat. Daniel Caesar, Giveon)",Justin Bieber(저스틴 비버)
33위,여행 (Traveler),비투비
34위,비와 당신,이무진
35위,미치고 싶어,비투비
36위,Boomerang,"기탁
기탁
 "
37위,운전만해 (We Ride),브레이브걸스(Brave Girls)
38위,사진을 보다가,다비치
39위,Higher Ground,"제이유나(J.UNA)
제이유나(J.UNA)
 "
40위,Kiss Me More (feat. SZA),Doja Cat(도자 캣)
41위,Alcohol-Free,TWICE (트와이스)
42위,여전히 아름다운지,세븐틴(SEVENTEEN)
43위,나는 너 좋아,장범준
44위,고백,장범준
45위,전쟁터 (with 이선희),AKMU(악뮤)
46위,다정히 내 이름을 부르면,"경서예지
경서예지
 "
47위,슈퍼스타,미도와 파라솔
48위,하루만 더,빅마마(Big Mama)
49위,고백,10CM
50위,Leave Before You Love Me,"Marshmello(마시멜로)
Marshmello(마시멜로)
 "
51위,라일락,아이유(IU)
52위,Off My Face,Justin Bieber(저스틴 비버)
53위,가을 우체국 앞에서,김대명
54위,Waiting 4 U,비투비
55위,롤린 (Rollin'),브레이브걸스(Brave Girls)
56위,ASAP,STAYC(스테이씨)
57위,은근히 낯가려요 (feat. RAVI),부끄뚱
58위,Lovesick Girls,BLACKPINK
59위,Timeless,SG워너비
60위,Celebrity,아이유(IU)
61위,술버릇 (운전만해 그후),브레이브걸스(Brave Girls)
62위,You can't sit with us,선미
63위,Loving You Girl (feat. Hkeem),Peder Elias
64위,Dolphin,오마이걸(OH MY GIRL)
65위,안녕 (Hello),조이 (JOY)
66위,내 손을 잡아,아이유(IU)
67위,치맛바람 (Chi Mat Ba Ram),브레이브걸스(Brave Girls)
68위,뚫고 지나가요,DAY6 (Even of Day)
69위,너에게,유연석
70위,Black Mamba,aespa
71위,추적이는 여름 비가 되어,장범준
72위,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
73위,담아 갈게,이무진
74위,어푸 (Ah puh),아이유(IU)
75위,에잇(Prod.&Feat. SUGA of BTS),아이유(IU)
76위,상상더하기,라붐(LABOUM)
77위,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),"방탄소년단
방탄소년단
 "
78위,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
79위,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685
Jawsh 685
 "
80위,넌 좋은 사람,SG워너비
81위,제자리 걸음,V.O.S.
82위,Life Goes On,방탄소년단
83위,야화,안예은
84위,나를 아는 사람,MSG워너비(정상동기)
85위,Blueming,아이유(IU)
86위,밤이 되니까,원슈타인
87위,Tiny Riot,Sam Ryder
88위,Leave The Door Open,"Bruno Mars(브루노 마스)
Bruno Mars(브루노 마스)
 "
89위,SPICY,CL
90위,남아있어 (Prod. by 진영),유주(여자친구)
91위,도망가자 (Run With Me),선우정아(Sunwoojunga)
92위,소리꾼,Stray Kids (스트레이 키즈)
93위,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
94위,parachute,John K
95위,허리춤,오반 (OVAN)
96위,행복하고 싶어,백지영
97위,Coin,아이유(IU)
98위,별빛 같은 나의 사랑아,임영웅
99위,비도 오고 그래서 (Feat. 신용재),헤이즈(Heize)
100위,WE GO,프로미스나인
