순위,제목,가수
1위,STAY (with Justin Bieber), The Kid LAROI
2위,Love Me Like That, Sam Kim
3위,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
4위,OHAYO MY NIGHT," D-Hack, Pateko"
5위,Pepas, Farruko
6위,edamame (feat. Rich Brian), bbno$
7위,Rose - English Version, D.O.
8위,NAKKA (with IU), AKMU
9위,DUMB DUMB, SOMI
10위,Loverboy, A-Wall
11위,Butterfly, J.UNA
12위,Celebration, BewhY
13위,double take, dhruv
14위,2055, Sleepy Hallow
15위,Traffic light, Lee Mujin
16위,Let′s forget it - Drama Version, Mido and Falasol
17위,Happier Than Ever, Billie Eilish
18위,Superstar, Mido and Falasol
19위,Try Again (feat. Lauv), DallasK
20위,CHANGGWI, Ahn Ye Eun
21위,Pain, PinkPantheress
22위,I'm Gonna Love You," D.O., Wonstein"
23위,I Like You, CHO JUNG SEOK
24위,París, Ingratax
25위,Heavy Heart, RIO
26위,Nevertheless, Night Off
27위,A-O-K, Tai Verdes
28위,In front of the Post Office in Autumn, Kim Dae Myeung
29위,Weekend, TAEYEON
30위,Rose, D.O.
31위,Loving You Girl (feat. Hkeem), Peder Elias
32위,Over The Top (feat. Drake), Smiley
33위,Chosen (feat. Ty Dolla $ign)," Blxst, Tyga"
34위,Woman, Doja Cat
35위,Love Tonight - Edit, Shouse
36위,We're Already, KIMMUSEUM
37위,Strange, Celeste
38위,Summer Is for Falling in Love," Sarah Kang, EyeLoveBrandon"
39위,Skate," Bruno Mars, Anderson .Paak, Silk Sonic"
40위,Good Night Good Dream, Nerd Connection
41위,Smells Like Teen Spirit, Malia J
42위,Get Into It (Yuh), Doja Cat
43위,When it rains (Feat. sogumm) (Prod. BOYCOLD), Leellamarz
44위,Rain Song (Feat. Colde), Epik High
45위,Tiny Riot, Sam Ryder
46위,Dark Red, Steve Lacy
47위,Bad Habits, Ed Sheeran
48위,Need To Know, Doja Cat
49위,Permission to Dance, BTS
50위,Beggin', Måneskin
