,제목,조회수,좋아요,싫어요,댓글수
0,BTS (방탄소년단) ‘Study with BTS’,5767040,1081350,1960,48778
1,BTS (방탄소년단) 'Permission to Dance' Official MV,290628763,14160581,211893,3212801
2,BTS (방탄소년단) 'Dynamite' Official MV,1228369407,30360817,1717394,15800835
3,BTS (방탄소년단) 'Butter' Official MV,538095955,19439482,401115,8190260
4,BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV,1339772010,23921436,1274073,6196023
5,[EPISODE] BTS (방탄소년단) @ 2020 SBS 가요대전,4452924,813033,1472,32159
6,Over the Horizon by SUGA of BTS,5786840,1611611,2661,83484
7,BTS (방탄소년단) 'DNA' Official MV,1336250566,20268230,1023410,6404115
8,[BANGTAN BOMB] SUGA & Jimin Visit HYBE INSIGHT - BTS (방탄소년단),4319015,896084,1578,27621
9,BTS (방탄소년단) 'Butter (feat. Megan Thee Stallion)' Official Visualizer,30936174,4790664,35418,608479
10,BTS (방탄소년단) 'Butter' @ THE MUSIC DAY,15883834,1530268,10721,46707
11,BTS (방탄소년단) 'IDOL' Official MV,993153918,17457873,841316,3032399
12,[Show Champion] 방탄소년단 - DNA (BTS - DNA) l EP.247 (EN/JP/TW),32473558,489967,7332,12575
13,BTS (방탄소년단) 'Butter' @ Billboard Music Awards,60063943,4392016,39440,209980
14,How Well Does BTS Know Each Other? | BTS Game Show | Vanity Fair,8603980,824481,3877,19608
15,[MV] BTS(방탄소년단) _ DOPE(쩔어),668737138,7588462,172365,465301
16,[2021 FESTA] BTS (방탄소년단) BTS ROOM LIVE #2021BTSFESTA,27964566,2905704,7765,145229
17,BTS (방탄소년단) 'Butter' @ MUSIC BLOOD,23348943,2119458,10656,64139
18,[BANGTAN BOMB] 'Dynamite' Stage CAM (BTS focus) @ Gyeongbokgung - BTS (방탄소년단),23123744,1296424,6289,32480
19,[BTS - Boy With Luv (One Take ver.)] Special Stage | M COUNTDOWN 190418 EP.615,19324791,446747,8230,9811
20,VMIN BTS Being The Most Cutest Soulmate,11617,1262,3,59
21,BTS (방탄소년단) '쩔어' Official MV,118480454,3242577,36720,100035
22,BTS have how many records?! - Guinness World Records,75869,10469,249,1147
23,BTS (방탄소년단) 'Permission to Dance' @ ONGAKUNOHI 2021,24230277,1833038,7845,57795
24,방탄소년단(BTS) - 쩔어(DOPE) @인기가요 Inkigayo 20150705,19500771,374273,5659,10845
25,Behind The Scenes with BTS | The (Getting Back to) Tonight Show - Ep. 8,547822,73761,214,2442
26,bts is whipped for jungkook,71693,6481,28,323
27,BTS (방탄소년단) 'Butter' @ SiriusXM Hits 1,19746299,1792691,12747,46738
28,VOCAL COACH reacts to BTS - ROOM (live),13237,1973,16,160
29,BTS (방탄소년단) - Airplane pt.2 @BTS COMEBACK SHOW,50915650,1612587,15735,61725
30,Koreans React To BTS TikTok Compilation,139148,9983,79,332
31,BTS | Dear Class Of 2020,78855752,4236142,51006,199492
32,[CHOREOGRAPHY] BTS (방탄소년단) ‘Dynamite’ Dance Practice (Cute & Lovely ver.) #2021BTSFESTA,16927889,2027416,5927,69606
33,"BLACKPINK, TWICE, BTS 입장 Opening (로제 채영 친목) 블랙핑크,트와이스,방탄소년단 4K 직캠 by 비몽",45585932,944379,24079,30722
34,BTS (방탄소년단) 'Film out' Official MV,162011253,8773542,84650,2535345
35,"[BTS 방탄소년단] 실시간속보 미국현지 긴급보도 BTS ""빌보드 핫100 중간집계 1위"" (BTS rank No.1 in midway count of ""HOT 100"")",24907,1462,10,62
36,방탄소년단 BTS MIC Drop 무대 교차편집 (stage mix),16393883,364254,3285,4507
37,【BTS】え！？『日本に来たくない』発言...！？BTSが日本嫌いという噂の真相がヤバすぎた...,20593,48,21,10
38,BTS Answer the Web's Most Searched Questions | WIRED,10985422,1033586,9378,46783
39,BTS (방탄소년단) '불타오르네 (FIRE)' Official MV (Choreography Version),38720011,1210754,9432,25665
40,[긴급속보]BTS 방탄소년단에 대해서 엘튼존 라디오쇼에 출연해 질문을 받았는데 그가 한말은!?,2739,113,5,6
41,Who is BTS?: The Seven Members of Bangtan РЕАКЦИЯ 2,1144,300,0,79
42,Zé gotinha vira o Zé jungkook; BTS desbanca artistas americanos nos EUA; E+,7613,1824,8,218
43,How BTS treats Jungkook (Cute moments),87475,9176,51,1342
44,[ENG SUB] RUN BTS EP 149 [INDO/THAI] 2021,1131104,50747,345,2944
45,BTS Telepathy Lyrics (방탄소년단 잠시 가사) [Color Coded Lyrics/Han/Rom/Eng],4442214,114167,893,3586
46,[MV] BTS(방탄소년단) _ Boy In Luv(상남자),387670894,5331107,126343,285854
47,BTS (방탄소년단) 'Film out' @ MUSIC BLOOD,13294157,1680733,4361,66467
